start,end,pixels,cost,
A,Et1,33,56.1,
A,C,151,256.7,
A,B,140,238,
B,D,51,86.7,
C,Et1,161,273.7,
C,D,53,90.1,
C,F,94,159.8,
C,B,93,158.1,
C,E,110,187,
C,Et2,77,130.9,
D,E,60,102,
E,G,30,51,
F,G,58,98.6,
F,E,92,156.4,
F,I,164,278.8,
F,Et2,60,102,
G,H,82,139.4,
G,I,160,272,
H,I,164,278.8,
H,L,80,136,
H,K,94,159.8,
I,Et3,82,139.4,
I,J,22,37.4,
J,L,90,153,
J,FF,109,185.3,
J,Et3,58,98.6,
K,M,27,45.9,
K,L,90,153,
L,M,78,132.6,
L,FF,91,154.7,
L,O,73,124.1,
L,Ñ,99,168.3,
M,N,27,45.9,
N,O,85,144.5,
Ñ,S,188,319.6,
O,Q,100,170,
O,U,264,448.8,
O,Ñ,52,88.4,
P,Ñ,54,91.8,
P,FF,34,57.8,
P,S,192,326.4,
FF,Et3,54,91.8,
Et3,Et2,120,204,
Q,Ñ,119,202.3,
Q,R,55,93.5,
Q,U,153,260.1,
R,S,51,86.7,
R,T,72,122.4,
R,U,150,255,
S,V,113,192.1,
S,Et4,182,309.4,
T,U,130,221,
T,V,129,219.3,
T,Cn2,79,134.3,
T1,Cn2,32,54.4,
U,Cn2,125,212.5,
U,T1,117,198.9,
U,T2,15,25.5,
V,Cn2,42,71.4,
V,CC,138,234.6,
V,Et4,62,105.4,
W,T1,91,154.7,
W,Cn2,111,188.7,
W,CC,32,54.4,
W,X,77,130.9,
W,Y,7,11.9,
CC,Et4,79,134.3,
X,Et4,122,207.4,
X,CC,61,103.7,
X,Et5,67,113.9,
Y,Et5,53,90.1,
Y,Et6,75,127.5,
Y,Z,142,241.4,
Z,Et6,58,98.6,
Et6,Et5,46,78.2,
Cn1,Et6,24,40.8,
